iter	Passed	Remaining
398	210303	316772
399	210796	316194
400	211301	315634
401	211487	314600
402	212014	314075
403	212524	313526
404	213015	312948
405	213519	312390
406	214025	311834
407	214512	311253
408	215016	310695
409	215507	310120
410	215987	309529
411	216506	308994
412	217013	308443
413	217515	307883
414	217972	307262
415	218464	306690
416	218971	306140
417	219472	305581
418	219984	305038
419	220477	304469
420	220990	303927
421	221471	303343
422	221947	302751
423	222454	302201
424	222643	301223
425	223146	300671
426	223203	299520
427	223727	298999
428	224206	298419
429	224710	297872
430	225218	297330
431	225710	296767
432	226217	296224
433	226726	295684
434	226785	294560
435	227276	293999
436	227777	293452
437	228278	292904
438	228754	292326
439	229265	291792
440	229759	291236
441	230270	290703
442	230402	289692
443	230908	289156
444	231412	288615
445	231913	288071
446	232446	287567
447	232947	287024
448	233468	286506
449	233970	285963
450	234475	285425
451	234950	284851
452	235443	284299
453	235945	283757
454	236420	283184
455	236704	282384
456	237216	281856
457	237723	281322
458	238208	280763
459	238703	280217
460	239201	279673
461	239710	279143
462	240223	278617
463	240732	278087
464	241228	277542
465	241733	277008
466	242246	276482
467	242440	275594
468	242497	274555
469	243007	274029
470	243534	273523
471	244010	272960
472	244505	272419
473	244993	271870
474	245486	271326
475	245997	270804
476	246493	270264
477	246989	269724
478	247477	269176
479	247954	268617
480	248466	268095
481	248975	267570
482	249457	267017
483	249951	266477
484	250455	265947
485	250957	265416
486	251459	264884
487	251934	264325
488	252437	263794
489	252932	263255
490	253437	262728
491	253948	262206
492	254473	261699
493	254966	261159
494	255456	260617
495	255947	260075
496	256439	259535
497	256519	258580
498	256619	257648
499	257126	257126
500	257626	256597
501	258134	256077
502	258645	255560
503	259158	255044
504	259663	254521
505	260159	253990
506	260663	253465
507	261152	252927
508	261654	252401
509	262160	251879
510	262667	251358
511	263196	250859
512	263700	250335
513	264213	249820
514	264710	249290
515	265201	248754
516	265710	248236
517	266202	247701
518	266703	247176
519	267214	246659
520	267722	246140
521	268225	245616
522	268730	245094
523	269221	244560
524	269727	244039
525	270219	243505
526	270720	242980
527	271225	242459
528	271743	241949
529	272248	241428
530	272738	240893
531	273223	240354
532	273714	239821
533	274218	239298
534	274758	238808
535	275256	238281
536	275771	237769
537	276264	237238
538	276365	236371
539	276878	235859
540	277384	235340
541	277885	234818
542	278404	234311
543	278894	233779
544	279396	233257
545	279902	232739
546	280406	232219
547	280901	231692
548	281429	231192
549	281944	230681
550	282450	230164
551	282950	229640
552	283466	229130
553	283960	228603
554	284474	228091
555	284966	227563
556	285462	227037
557	285570	226204
558	286078	225690
559	286557	225152
560	287070	224641
561	287554	224108
562	288042	223578
563	288551	223064
564	289040	222535
565	289571	222038
566	290042	221496
567	290535	220970
568	291032	220447
569	291553	219943
570	292069	219435
571	292561	218909
572	293047	218379
573	293532	217848
574	294030	217326
575	294519	216798
576	295014	216276
577	295514	215756
578	295998	215225
579	296477	214690
580	296553	213865
581	297065	213356
582	297562	212836
583	298050	212309
584	298536	211782
585	299009	211245
586	299521	210736
587	299617	209935
588	300131	209429
589	300627	208910
590	301107	208380
591	301603	207861
592	302085	207333
593	302577	206812
594	303077	206296
595	303581	205783
596	304086	205270
597	304591	204758
598	305059	204221
599	305568	203712
600	306053	203186
601	306551	202670
602	307054	202157
603	307550	201639
604	308049	201123
605	308234	200403
606	308742	199893
607	309228	199371
608	309699	198838
609	310200	198324
610	310707	197815
611	311204	197299
612	311696	196780
613	312170	196250
614	312663	195732
615	312960	195092
616	313446	194570
617	313963	194067
618	314471	193559
619	314971	193047
620	315478	192538
621	315966	192018
622	316463	191503
623	316962	190990
624	317457	190474
625	317962	189964
626	318459	189450
627	318973	188946
628	319456	188423
629	319973	187921
630	320482	187413
631	320559	186654
632	321063	186145
633	321569	185638
634	322063	185123
635	322584	184623
636	323076	184108
637	323560	183587
638	324061	183076
639	324569	182570
640	325054	182050
641	325578	181553
642	326084	181045
643	326573	180528
644	327097	180030
645	327590	179515
646	328085	179001
647	328594	178495
648	329094	177985
649	329604	177479
650	330101	176966
651	330602	176456
652	330661	175711
653	331187	175215
654	331674	174698
655	332150	174176
656	332655	173669
657	333149	173156
658	333643	172643
659	334126	172126
660	334603	171604
661	334911	170997
662	335417	170491
663	335923	169985
664	336438	169484
665	336945	168978
666	337448	168471
667	337943	167959
668	338443	167450
669	338940	166940
670	339430	166427
671	339928	165917
672	340431	165410
673	340566	164724
674	341073	164220
675	341558	163705
676	342051	163194
677	342571	162696
678	343078	162191
679	343600	161694
680	344089	161181
681	344578	160668
682	345075	160159
683	345569	159649
684	346078	159145
685	346596	158646
686	347075	158128
687	347574	157620
688	348079	157115
689	348581	156609
690	349065	156094
691	349563	155586
692	350079	155085
693	350581	154579
694	351094	154077
695	351592	153569
696	352097	153063
697	352601	152558
698	353098	152049
699	353283	151407
700	353785	150901
701	354282	150393
702	354795	149892
703	355291	149383
704	355778	148871
705	356283	148367
706	356783	147860
707	357300	147361
708	357799	146854
709	358304	146349
710	358794	145839
711	359302	145335
712	359797	144827
713	360297	144321
714	360818	143822
715	361302	143310
716	361803	142803
717	362308	142299
718	362789	141785
719	362918	141134
720	363442	140638
721	363900	140116
722	364384	139605
723	364897	139104
724	365398	138599
725	365893	138091
726	366384	137583
727	366864	137070
728	367366	136565
729	367873	136062
730	368384	135561
731	368899	135061
732	369403	134557
733	369898	134050
734	370393	133543
735	370903	133041
736	371374	132525
737	371878	132022
738	372365	131512
739	372835	130996
740	373345	130494
741	373850	129991
742	374355	129487
743	374854	128982
744	375352	128476
745	375848	127969
746	376361	127469
747	376852	126960
748	377347	126454
749	377838	125946
750	378334	125439
751	378813	124927
752	379330	124428
753	379826	123922
754	380320	123415
755	380827	122912
756	381323	122406
757	381838	121906
758	382338	121401
759	382837	120896
760	383326	120387
761	383841	119887
762	384345	119383
763	384847	118879
764	385330	118369
765	385836	117866
766	386326	117358
767	386847	116860
768	387349	116355
769	387857	115853
770	388345	115345
771	388846	114840
772	389363	114340
773	389853	113833
774	390360	113330
775	390857	112824
776	391336	112314
777	391815	111803
778	392306	111296
779	392799	110789
780	393309	110287
781	393803	109781
782	394311	109279
783	394825	108778
784	395369	108285
785	395865	107780
786	396365	107275
787	396835	106762
788	397357	106264
789	397868	105762
790	398352	105253
791	398860	104751
792	398990	104150
793	399512	103651
794	400013	103148
795	400511	102643
796	400994	102135
797	401496	101632
798	401997	101128
799	402514	100628
800	403003	100121
801	403502	99617
802	404012	99116
803	404509	98611
804	404583	98004
805	405079	97500
806	405154	96895
807	405655	96393
808	406137	95886
809	406642	95385
810	407137	94881
811	407637	94379
812	408134	93875
813	408652	93377
814	409157	92876
815	409669	92376
816	410177	91875
817	410672	91372
818	411166	90868
819	411661	90364
820	412148	89859
821	412659	89359
822	413147	88854
823	413637	88349
824	414143	87848
825	414644	87346
826	415155	86846
827	415668	86346
828	416162	85842
829	416663	85340
830	417139	84833
831	417645	84332
832	418146	83830
833	418667	83331
834	419147	82825
835	419646	82322
836	420153	81821
837	420628	81314
838	421136	80814
839	421639	80312
840	422152	79812
841	422662	79311
842	423166	78810
843	423666	78307
844	424179	77808
845	424686	77306
846	425161	76800
847	425664	76298
848	426179	75798
849	426677	75296
850	427172	74792
851	427671	74290
852	428157	73785
853	428649	73281
854	429147	72779
855	429248	72210
856	429765	71711
857	430266	71209
858	430757	70706
859	431257	70204
860	431735	69699
861	432231	69197
862	432730	68695
863	433203	68189
864	433707	67688
865	434216	67188
866	434717	66686
867	435198	66182
868	435688	65679
869	436186	65177
870	436705	64678
871	436805	64118
872	437315	63618
873	437795	63114
874	438295	62613
875	438796	62112
876	439293	61611
877	439825	61114
878	440318	60612
879	440818	60111
880	440880	59551
881	441383	59051
882	441875	58549
883	442385	58050
884	442868	57547
885	443374	57048
886	443877	56548
887	444377	56047
888	444848	55543
889	445348	55043
890	445852	54543
891	446335	54040
892	446832	53539
893	447334	53039
894	447825	52538
895	448342	52039
896	448815	51536
897	449326	51037
898	449818	50535
899	450324	50036
900	450839	49537
901	451331	49036
902	451837	48536
903	452339	48036
904	452826	47534
905	453308	47031
906	453811	46531
907	454314	46031
908	454831	45533
909	455325	45032
910	455815	44530
911	456323	44031
912	456854	43533
913	457340	43032
914	457838	42531
915	458338	42031
916	458837	41530
917	459355	41031
918	459845	40530
919	460332	40028
920	460837	39528
921	461340	39028
922	461849	38529
923	462371	38030
924	462875	37530
925	463365	37029
926	463848	36527
927	464340	36026
928	464840	35526
929	465346	35026
930	465822	34523
931	466312	34022
932	466807	33522
933	467297	33021
934	467794	32520
935	467893	31992
936	468376	31491
937	468858	30990
938	469358	30490
939	469862	29991
940	470359	29491
941	470865	28991
942	471363	28491
943	471851	27991
944	472339	27490
945	472826	26990
946	473318	26489
947	473787	25988
948	474275	25487
949	474816	24990
950	475296	24489
951	475782	23989
952	476288	23489
953	476777	22989
954	477256	22488
955	477785	21990
956	478277	21489
957	478788	20990
958	479304	20491
959	479806	19991
960	480304	19492
961	480797	18991
962	481294	18492
963	481797	17992
964	482290	17492
965	482792	16992
966	483277	16492
967	483776	15992
968	483959	15482
969	484449	14982
970	484950	14483
971	485431	13983
972	485928	13484
973	486425	12984
974	486926	12485
975	487029	11976
976	487529	11477
977	488028	10978
978	488532	10479
979	489030	9980
980	489539	9481
981	490034	8982
982	490534	8483
983	491043	7984
984	491538	7485
985	492039	6986
986	492534	6487
987	493043	5988
988	493574	5489
989	494080	4990
990	494584	4491
991	495078	3992
992	495545	3493
993	496053	2994
994	496524	2495
995	497016	1996
996	497525	1497
997	498012	998
998	498505	499
999	499007	0
